"","","elevation","tmn1951_1980","tmx1951_1980","ppt1951_1980","pet1951_1980","cwd1951_1980"
"26","LYN","658","7.3","22.1","849.1","1144.4","671.7"
"34","SJR","342","7.8","24.5","471.7","1367.3","993.3"
"35","SMR","610","8.6","23.1","560.5","1351.9","985.8"
"39","SON","104","7.9","23.5","454.7","1284.7","981.7"
"40","SRD","638","6.2","22.2","836.6","1264.5","783.3"
"41","SUG","1020","4.9","21.2","1014.3","1193.3","733.9"
"42","SMT","230","10.4","23.6","1221.9","1174.5","690.1"
"46","HREC",NA,"6.1","22.8","977.7","1169.1","732.6"
