"","site.pop","rep","ind","branch","pop","site","site.rep","label_branch","individual","Wood_density_WW","Wood_density_DW","Branch_diameter_mm","notes","WD","cwd","ind.id"
"41","H18","4","b","","18","H","H.4","H18_4_b",1,28.45,21.85,NA,"",0.768014059753954,981.6850146,"H18_4_b"
"42","H18","4","b","","18","H","H.4","H18_4_b",2,24.36,18.77,NA,"",0.770525451559934,981.6850146,"H18_4_b"
"43","H16","3","b","","16","H","H.3","H16_3_b",1,9.36,7.23,NA,"",0.772435897435898,783.2500117,"H16_3_b"
"44","H16","3","b","","16","H","H.3","H16_3_b",2,15.8,11.94,NA,"",0.755696202531645,783.2500117,"H16_3_b"
"45","H18","3","c","","18","H","H.3","H18_3_c",1,16.64,13.21,NA,"",0.793870192307692,981.6850146,"H18_3_c"
"46","H18","3","c","","18","H","H.3","H18_3_c",2,28.17,22.58,NA,"",0.801561945331913,981.6850146,"H18_3_c"
"47","H26","6","c","","26","H","H.6","H26_6_c",1,9.59,7.68,NA,"",0.800834202294056,985.8075147,"H26_6_c"
"48","H26","6","c","","26","H","H.6","H26_6_c",2,11.74,9.44,NA,"",0.804088586030664,985.8075147,"H26_6_c"
"49","H15","4","c","","15","H","H.4","H15_4_c",1,16,12.05,NA,"",0.753125,733.8575109,"H15_4_c"
"50","H15","4","c","","15","H","H.4","H15_4_c",2,22.19,16.67,NA,"",0.751239296980622,733.8575109,"H15_4_c"
"51","H1","5","a","","1","H","H.5","H1_5_a",1,13.31,10.1,NA,"",0.758827948910593,690.0800103,"H1_5_a"
"52","H1","5","a","","1","H","H.5","H1_5_a",2,13.48,10.56,NA,"",0.783382789317507,690.0800103,"H1_5_a"
"53","H16","2","a","","16","H","H.2","H16_2_a",1,9.59,7.14,NA,"",0.744525547445255,783.2500117,"H16_2_a"
"54","H16","2","a","","16","H","H.2","H16_2_a",2,11.15,8.63,NA,"",0.773991031390135,783.2500117,"H16_2_a"
"55","H26","1","c","","26","H","H.1","H26_1_c",1,10.96,8.7,NA,"",0.793795620437956,985.8075147,"H26_1_c"
"56","H26","1","c","","26","H","H.1","H26_1_c",2,17.39,13.77,NA,"",0.791834387579068,985.8075147,"H26_1_c"
"57","H3","2","a","","3","H","H.2","H3_2_a",1,8.83,6.74,NA,"",0.763306908267271,671.70251,"H3_2_a"
"58","H3","2","a","","3","H","H.2","H3_2_a",2,10.09,7.76,NA,"",0.769078295341923,671.70251,"H3_2_a"
"59","H16","1","c","","16","H","H.1","H16_1_c",1,8,6.08,NA,"",0.76,783.2500117,"H16_1_c"
"60","H16","1","c","","16","H","H.1","H16_1_c",2,3.12,2.37,NA,"",0.759615384615385,783.2500117,"H16_1_c"
"61","H1","3","a","","1","H","H.3","H1_3_a",1,12.37,9.41,NA,"",0.760711398544867,690.0800103,"H1_3_a"
"62","H1","3","a","","1","H","H.3","H1_3_a",2,8.05,6.31,NA,"",0.783850931677018,690.0800103,"H1_3_a"
"63","H1","3","a","","1","H","H.3","H1_3_a",3,3.62,2.8,NA,"",0.773480662983425,690.0800103,"H1_3_a"
"64","H1","1","c","","1","H","H.1","H1_1_c",1,14,10.46,NA,"",0.747142857142857,690.0800103,"H1_1_c"
"65","H1","1","c","","1","H","H.1","H1_1_c",2,8,6.17,NA,"",0.77125,690.0800103,"H1_1_c"
"66","H22","3","a","","22","H","H.3","H22_3_a",1,7.1,5.38,NA,"",0.757746478873239,993.3000148,"H22_3_a"
"67","H22","3","a","","22","H","H.3","H22_3_a",2,12.38,9.38,NA,"",0.75767366720517,993.3000148,"H22_3_a"
"68","H3","6","a","","3","H","H.6","H3_6_a",1,24.82,19.18,26.47,"",0.77276390008058,671.70251,"H3_6_a"
"69","H3","6","a","","3","H","H.6","H3_6_a",2,24.34,18.37,25.51333333,"",0.754724732949877,671.70251,"H3_6_a"
"70","H26","8","c","","26","H","H.8","H26_8_c",1,4.84,3.57,16.85,"",0.737603305785124,985.8075147,"H26_8_c"
"71","H26","8","c","","26","H","H.8","H26_8_c",2,6.86,5.12,16.86666667,"",0.746355685131195,985.8075147,"H26_8_c"
"72","H22","8","b","","22","H","H.8","H22_8_b",1,21.23,16.27,18.93333333,"",0.766368346679227,993.3000148,"H22_8_b"
"73","H3","1","b","","3","H","H.1","H3_1_a",1,20.43,16.04,22.73,"",0.785119921683798,671.70251,"H3_1_b"
"74","SF16","7","b","","16","SF","SF.7","SF16_7_b",1,5.11,3.7131,NA,"",0.726634050880626,783.2500117,"SF16_7_b"
"75","SF16","7","b","","16","SF","SF.7","SF16_7_b",2,10.47,7.6946,NA,"",0.734918815663801,783.2500117,"SF16_7_b"
"76","SF16","7","b","","16","SF","SF.7","SF16_7_b",3,11.21,8.2076,NA,"",0.732167707404103,783.2500117,"SF16_7_b"
"77","SF16","7","b","","16","SF","SF.7","SF16_7_b",4,11.78,8.3717,NA,"",0.710670628183362,783.2500117,"SF16_7_b"
"78","SF1","6","b","","1","SF","SF.6","SF1_6_b",1,4.61,3.5334,NA,"",0.76646420824295,690.0800103,"SF1_6_b"
"79","SF1","6","b","","1","SF","SF.6","SF1_6_b",2,5.64,4.1432,NA,"",0.734609929078014,690.0800103,"SF1_6_b"
"80","SF26","8","b","","26","SF","SF.8","SF26_8_c",1,4.39,3.1069,NA,"",0.707722095671982,985.8075147,"SF26_8_b"
"81","SF26","8","b","","26","SF","SF.8","SF26_8_c",2,9.37,6.8008,NA,"",0.725805763073639,985.8075147,"SF26_8_b"
"82","SF3","4","b","","3","SF","SF.4","SF3_4_b",1,7.12,5.2458,NA,"",0.736769662921348,671.70251,"SF3_4_b"
"83","SF3","4","b","","3","SF","SF.4","SF3_4_b",2,8.17,5.9927,NA,"",0.733500611995104,671.70251,"SF3_4_b"
"84","SF3","7","a","","3","SF","SF.7","SF3_7_a",1,6.45,4.9119,NA,"",0.76153488372093,671.70251,"SF3_7_a"
"85","SF3","7","a","","3","SF","SF.7","SF3_7_a",2,8.94,7.18,NA,"",0.803131991051454,671.70251,"SF3_7_a"
"86","SF15","6","a","","15","SF","SF.6","SF15_6_a",1,15.88,11.45,NA,"",0.721032745591939,733.8575109,"SF15_6_a"
"87","SF3","8","b","","3","SF","SF.8","SF3_8_b",1,14.75,10.63,NA,"",0.720677966101695,671.70251,"SF3_8_b"
"88","SF1","10","b","","1","SF","SF.10","SF1_10_b",1,7.72,5.5,NA,"",0.712435233160622,690.0800103,"SF1_10_b"
"89","SF1","10","b","","1","SF","SF.10","SF1_10_b",2,7.11,5.19,NA,"",0.729957805907173,690.0800103,"SF1_10_b"
"90","SF26","5","a","","26","SF","SF.5","SF26_5_a",1,10.41,8.02,NA,"",0.770413064361191,985.8075147,"SF26_5_a"
"91","SF26","5","a","","26","SF","SF.5","SF26_5_a",2,9.51,7.28,NA,"",0.765509989484753,985.8075147,"SF26_5_a"
"92","SF16","6","a","","16","SF","SF.6","SF16_6_a",1,6.49,4.77,NA,"",0.73497688751926,783.2500117,"SF16_6_a"
"93","SF16","6","a","","16","SF","SF.6","SF16_6_a",2,6.21,4.67,NA,"",0.752012882447665,783.2500117,"SF16_6_a"
"94","SF16","6","a","","16","SF","SF.6","SF16_6_a",3,9.14,7.2,NA,"",0.787746170678337,783.2500117,"SF16_6_a"
"95","SF16","6","a","","16","SF","SF.6","SF16_6_a",4,11.88,9.49,NA,"",0.798821548821549,783.2500117,"SF16_6_a"
"96","SF16","6","a","","16","SF","SF.6","SF16_6_a",5,8.1,6.62,NA,"",0.817283950617284,783.2500117,"SF16_6_a"
"97","SF26","9","c","","26","SF","SF.9","SF26_9_c",1,10.2,7.83,NA,"",0.76764705882353,985.8075147,"SF26_9_c"
"98","SF15","5","a","","15","SF","SF.5","SF15_5_a",1,10,6.93,NA,"",0.693,733.8575109,"SF15_5_a"
"99","SF15","5","a","","15","SF","SF.5","SF15_5_a",2,10.13,6.98,NA,"",0.689042448173741,733.8575109,"SF15_5_a"
"100","SF3","9","c","","3","SF","SF.9","SF3_9_c",1,6.6,4.84,NA,"",0.733333333333333,671.70251,"SF3_9_c"
"101","SF3","9","c","","3","SF","SF.9","SF3_9_c",2,9.97,7.33,NA,"",0.735205616850552,671.70251,"SF3_9_c"
"102","SF3","9","c","","3","SF","SF.9","SF3_9_c",3,5.81,4.49,NA,"",0.772805507745267,671.70251,"SF3_9_c"
"103","SF22","6","a","","22","SF","SF.6","SF22_6_a",1,5.35,3.89,NA,"",0.727102803738318,993.3000148,"SF22_6_a"
"104","SF26","7","a","","26","SF","SF.7","SF26_7_a",1,9.29,6.71,NA,"",0.722282023681378,985.8075147,"SF26_7_a"
"105","SF26","7","a","","26","SF","SF.7","SF26_7_a",2,12.32,9.69,NA,"",0.786525974025974,985.8075147,"SF26_7_a"
"106","SF26","7","a","","26","SF","SF.7","SF26_7_a",3,9.88,7.36,NA,"",0.744939271255061,985.8075147,"SF26_7_a"
"107","SF26","7","a","","26","SF","SF.7","SF26_7_a",4,3.97,3.03,NA,"",0.763224181360201,985.8075147,"SF26_7_a"
"108","SF26","8","b","","26","SF","SF.8","SF26_8_b",1,12.1,9.13,NA,"",0.754545454545455,985.8075147,"SF26_8_b"
"109","SF26","8","b","","26","SF","SF.8","SF26_8_b",2,9.62,7.49,NA,"",0.778586278586279,985.8075147,"SF26_8_b"
"110","SF16","8","b","","16","SF","SF.8","SF16_8_b",1,5.8,4.28,NA,"",0.737931034482759,783.2500117,"SF16_8_b"
"111","SF16","8","b","","16","SF","SF.8","SF16_8_b",2,8.43,6.95,NA,"",0.824436536180308,783.2500117,"SF16_8_b"
"112","SF26","7","a","","26","SF","SF.7","SF26_7_a",1,4.15,3.08,NA,"",0.742168674698795,985.8075147,"SF26_7_a"
"113","SF26","7","a","","26","SF","SF.7","SF26_7_a",2,1.39,1.24,NA,"",0.892086330935252,985.8075147,"SF26_7_a"
"114","SF26","2","a","","26","SF","SF.2","SF26_2_a",1,7.65,5.6,NA,"",0.73202614379085,985.8075147,"SF26_2_a"
"115","SF16","9","b","","16","SF","SF.9","SF16_9_b",1,2.99,2.35,NA,"",0.785953177257525,783.2500117,"SF16_9_b"
"116","SF16","9","b","","16","SF","SF.9","SF16_9_b",2,9.41,7.4,NA,"",0.786397449521785,783.2500117,"SF16_9_b"
"117","SF16","9","b","","16","SF","SF.9","SF16_9_b",3,4.74,3.86,NA,"",0.814345991561181,783.2500117,"SF16_9_b"
"118","SF3","8","b","","3","SF","SF.8","SF3_8_b",1,4.87,3.67,NA,"",0.753593429158111,671.70251,"SF3_8_b"
"119","SF3","8","b","","3","SF","SF.8","SF3_8_b",2,4.97,3.59,NA,"",0.722334004024145,671.70251,"SF3_8_b"
"120","SF22","5","a","","22","SF","SF.5","SF22_5_a",1,6.13,4.65,NA,"",0.758564437194127,993.3000148,"SF22_5_a"
"121","SF22","5","a","","22","SF","SF.5","SF22_5_a",2,12.18,9.53,NA,"",0.782430213464696,993.3000148,"SF22_5_a"
"122","SF16","8","b","","16","SF","SF.8","SF16_8_b",1,7.98,5.79,NA,"",0.725563909774436,783.2500117,"SF16_8_b"
"123","SF16","8","b","","16","SF","SF.8","SF16_8_b",2,3.95,3,NA,"",0.759493670886076,783.2500117,"SF16_8_b"
"124","SF15","9","a","","15","SF","SF.9","SF15_9_a",1,1.12,0.88,NA,"",0.785714285714286,733.8575109,"SF15_9_a"
