"","site.pop","rep","ind","branch","pop","site","site.rep","label_branch","individual","Wood_density_WW","Wood_density_DW","Branch_diameter_mm","notes","WD","cwd","ind.id"
"239","W26","6","","","26","W","W.6","W26_6",3,6.52,4.55,NA,"",0.697852760736196,985.8075147,"W26_6_"
"240","W26","2","","","26","W","W.2","W26_2",1,9.41,6.09,NA,"",0.647183846971307,985.8075147,"W26_2_"
"241","W26","2","","","26","W","W.2","W26_2",2,11.51,7.04,NA,"",0.611642050390964,985.8075147,"W26_2_"
"242","W26","2","","","26","W","W.2","W26_2",3,2.51,1.57,NA,"",0.625498007968128,985.8075147,"W26_2_"
"243","W26","7","","","26","W","W.7","W26_7",1,7.29,5.27,NA,"",0.722908093278464,985.8075147,"W26_7_"
"244","W26","7","","","26","W","W.7","W26_7",2,15.75,12.21,NA,"",0.775238095238095,985.8075147,"W26_7_"
"245","W26","7","","","26","W","W.7","W26_7",3,2.47,1.81,NA,"",0.732793522267206,985.8075147,"W26_7_"
"246","W26","1","","","26","W","W.1","W26_1",1,4.07,2.82,NA,"",0.692874692874693,985.8075147,"W26_1_"
"247","W26","1","","","26","W","W.1","W26_1",2,6.46,4.42,NA,"",0.68421052631579,985.8075147,"W26_1_"
"248","W26","1","","","26","W","W.1","W26_1",3,17.06,11.91,NA,"",0.698124267291911,985.8075147,"W26_1_"
"249","W3","5","","","3","W","W.5","W3_5",1,12.66,9.49,23.37,"",0.749605055292259,671.70251,"W3_5_"
"250","W3","5","","","3","W","W.5","W3_5",2,8.26,6.43,12.81,"",0.778450363196126,671.70251,"W3_5_"
"251","W3","5","","","3","W","W.5","W3_5",3,9.48,7.23,16.49,"",0.762658227848101,671.70251,"W3_5_"
"252","W16","1","","","16","W","W.1","W16_1",1,NA,NA,NA,"",NA,783.2500117,"W16_1_"
"253","W16","1","","","16","W","W.1","W16_1",2,7.75,5.91,15.3,"",0.76258064516129,783.2500117,"W16_1_"
"254","W3","7","","","3","W","W.7","W3_7",1,14.05,9.86,24.42,"",0.701779359430605,671.70251,"W3_7_"
"255","W3","7","","","3","W","W.7","W3_7",2,28.45,21.1,25.66333333,"",0.741652021089631,671.70251,"W3_7_"
"256","W3","7","","","3","W","W.7","W3_7",3,8.82,5.94,11.06333333,"",0.673469387755102,671.70251,"W3_7_"
"257","W3","6","","","3","W","W.6","W3_6",1,5.83,4.46,16.54333333,"",0.765008576329331,671.70251,"W3_6_"
"258","W3","6","","","3","W","W.6","W3_6",2,7.67,6.12,14.92666667,"",0.797913950456323,671.70251,"W3_6_"
"259","W3","6","","","3","W","W.6","W3_6",3,13.67,10.33,23.69666667,"chunk of wood missing from sample",0.755669348939283,671.70251,"W3_6_"
"260","W16","1","","","16","W","W.1","W16_1",1,6.36,4.65,15.06666667,"",0.731132075471698,783.2500117,"W16_1_"
"261","W16","6","","","16","W","W.6","W16_6",1,4.68,3.62,13.85,"",0.773504273504274,783.2500117,"W16_6_"
"262","W16","6","","","16","W","W.6","W16_6",2,7.78,6.01,14.73666667,"",0.772493573264781,783.2500117,"W16_6_"
"263","W16","2","","","16","W","W.2","W16_2",1,6.96,5.41,20.92333333,"",0.777298850574713,783.2500117,"W16_2_"
"264","W16","2","","","16","W","W.2","W16_2",2,6.43,4.85,20.43666667,"",0.754276827371695,783.2500117,"W16_2_"
"265","W1","5","","","1","W","W.5","W1_5",1,6.48,4.89,20.47,"",0.75462962962963,690.0800103,"W1_5_"
"266","W1","5","","","1","W","W.5","W1_5",2,10.4,8.41,18.49,"",0.808653846153846,690.0800103,"W1_5_"
"267","W1","5","","","1","W","W.5","W1_5",3,5.15,4.1,11.42,"",0.796116504854369,690.0800103,"W1_5_"
"268","W15","2","","","15","W","W.2","W15_2",1,10.11,7.28,16.13333333,"",0.720079129574679,733.8575109,"W15_2_"
"269","W15","2","","","15","W","W.2","W15_2",2,7.9,5.6,14.76,"",0.708860759493671,733.8575109,"W15_2_"
"270","W15","2","","","15","W","W.2","W15_2",3,2.77,1.89,9.953333333,"",0.682310469314079,733.8575109,"W15_2_"
"271","W1","6","","","1","W","W.6","W1_6",1,11.32,8.35,18.75333333,"",0.737632508833922,690.0800103,"W1_6_"
"272","W1","6","","","1","W","W.6","W1_6",2,3.24,2.43,7.883333333,"",0.75,690.0800103,"W1_6_"
"273","W1","6","","","1","W","W.6","W1_6",3,4.68,3.45,10.39666667,"",0.737179487179487,690.0800103,"W1_6_"
"274","W3","4","","","3","W","W.4","W3_4",1,12.94,9.61,20.13333333,"",0.742658423493045,671.70251,"W3_4_"
"275","W3","4","","","3","W","W.4","W3_4",2,19.42,15.67,24.97666667,"",0.806900102986612,671.70251,"W3_4_"
"276","W16","8","","","16","W","W.8","W16_8",1,5.68,3.97,12.17,"duplicate?",0.698943661971831,783.2500117,"W16_8_"
"277","W16","8","","","16","W","W.8","W16_8",2,5.72,3.99,10.77666667,"duplicate?",0.697552447552448,783.2500117,"W16_8_"
"278","W16","8","","","16","W","W.8","W16_8",3,13.94,10.04,20.2,"duplicate?",0.720229555236729,783.2500117,"W16_8_"
"279","W3","1","","","3","W","W.1","W3_1",1,24.72,17.79,28.07666667,"",0.719660194174757,671.70251,"W3_1_"
"280","W3","1","","","3","W","W.1","W3_1",2,6.9,4.85,15.72333333,"",0.702898550724638,671.70251,"W3_1_"
"281","W3","1","","","3","W","W.1","W3_1",3,6.23,4.25,13.60666667,"",0.682182985553772,671.70251,"W3_1_"
"282","W1","2","","","1","W","W.2","W1_2",1,6.04,4.73,17.98333333,"chunk of wood missing from sample",0.783112582781457,690.0800103,"W1_2_"
"283","W1","2","","","1","W","W.2","W1_2",2,7.13,5.22,16.48,"",0.732117812061711,690.0800103,"W1_2_"
"284","W1","2","","","1","W","W.2","W1_2",3,3.98,2.91,8.846666667,"",0.731155778894472,690.0800103,"W1_2_"
"285","W16","5","","","16","W","W.5","W16_5",1,4.74,3.41,16.73666667,"",0.719409282700422,783.2500117,"W16_5_"
"286","W16","5","","","16","W","W.5","W16_5",2,7.4,5.67,14.94333333,"",0.766216216216216,783.2500117,"W16_5_"
"287","W1","7","","","1","W","W.7","W1_7",1,10.21,7.85,17.17,"",0.768854064642507,690.0800103,"W1_7_"
"288","W1","7","","","1","W","W.7","W1_7",2,4.03,3.09,10.24,"",0.766749379652605,690.0800103,"W1_7_"
"289","W1","7","","","1","W","W.7","W1_7",3,3.72,2.93,11.62333333,"",0.78763440860215,690.0800103,"W1_7_"
"290","W3","2","","","3","W","W.2","W3_2",1,6.81,4.79,21.12,"only half of wood piece",0.70337738619677,671.70251,"W3_2_"
"291","W3","2","","","3","W","W.2","W3_2",2,NA,NA,NA,"",NA,671.70251,"W3_2_"
"292","W3","2","","","3","W","W.2","W3_2",3,19.54,12.27,20.61333333,"had leftover bark attached that was removed after dried",0.627942681678608,671.70251,"W3_2_"
"293","W1","3","","","1","W","W.3","W1_3",1,5.88,4.44,18.61333333,"",0.755102040816327,690.0800103,"W1_3_"
"294","W1","3","","","1","W","W.3","W1_3",2,14.35,10.63,22.6,"",0.740766550522648,690.0800103,"W1_3_"
"295","W1","3","","","1","W","W.3","W1_3",3,4.43,3.43,368.3466667,"",0.774266365688488,690.0800103,"W1_3_"
"296","W15","5","","","15","W","W.5","W15_5",1,5.89,3.99,16.37,"",0.67741935483871,733.8575109,"W15_5_"
"297","W15","5","","","15","W","W.5","W15_5",2,16.93,11.55,24.02666667,"",0.68222090962788,733.8575109,"W15_5_"
"298","W15","5","","","15","W","W.5","W15_5",3,2.81,1.95,8.343333333,"",0.693950177935943,733.8575109,"W15_5_"
"299","W15","4","","","15","W","W.4","W15_4",1,6.06,4.05,15.73,"",0.668316831683168,733.8575109,"W15_4_"
"300","W15","4","","","15","W","W.4","W15_4",2,3.01,1.92,10.85666667,"",0.637873754152824,733.8575109,"W15_4_"
"301","W15","4","","","15","W","W.4","W15_4",3,3.12,1.91,11.47,"",0.612179487179487,733.8575109,"W15_4_"
"302","W15","6","","","15","W","W.6","W15_6",1,4.09,2.62,14.94333333,"",0.640586797066015,733.8575109,"W15_6_"
