unique,treenum,treerow,rep,pop,sub,gall_survey,flash_sample,boink_sample,stems,height,diam_50cm
1_22_1,64,64,1,22,1,NA,NA,NA,0,NA,NA
1_1_2,2,2,1,1,2,NA,1,NA,3,6.2,17.3
1_1_3,3,3,1,1,3,1,NA,1,1,3.6,7.6
1_2_1,4,4,1,2,1,NA,NA,NA,0,NA,NA
1_2_2,5,5,1,2,2,1,NA,NA,1,4.8,10.5
1_2_3,6,6,1,2,3,NA,NA,NA,2,5.9,11.3
3_26_1,193,37,3,26,1,NA,NA,NA,0,NA,NA
1_3_2,8,8,1,3,2,1,NA,1,1,5.2,12.4
2_1_3,126,48,2,1,3,1,1,NA,1,4.5,10.9
1_4_1,10,10,1,4,1,NA,NA,NA,2,5,11.8
1_4_2,11,11,1,4,2,1,NA,NA,1,4.8,10.6
1_4_3,12,12,1,4,3,NA,NA,NA,1,5.1,9.5
1_5_1,13,13,1,5,1,1,1,NA,2,3.8,8.4
1_5_2,14,14,1,5,2,NA,NA,NA,3,5.3,16.5
1_5_3,15,15,1,5,3,NA,NA,NA,4,5,8.5
1_6_1,16,16,1,6,1,1,1,NA,1,5.5,13.5
1_6_2,17,17,1,6,2,NA,NA,NA,2,5.5,8.9
1_6_3,18,18,1,6,3,NA,NA,NA,2,6,9
1_7_1,19,19,1,7,1,NA,NA,NA,2,4.8,10
1_7_2,20,20,1,7,2,NA,NA,NA,2,4.9,9.5
1_7_3,21,21,1,7,3,1,1,NA,1,7.5,14.6
1_8_1,22,22,1,8,1,NA,NA,NA,1,7,13.5
1_8_2,23,23,1,8,2,NA,NA,NA,2,4.4,6.5
1_8_3,24,24,1,8,3,1,NA,NA,3,5.2,22.3
1_9_1,25,25,1,9,1,NA,NA,NA,2,4.3,8.5
1_9_2,26,26,1,9,2,NA,NA,NA,2,3.7,6
1_9_3,27,27,1,9,3,1,1,NA,2,4.3,10.5
1_10_1,28,28,1,10,1,NA,NA,NA,2,4.8,11.6
1_10_2,29,29,1,10,2,1,1,NA,2,5.7,14
1_10_3,30,30,1,10,3,NA,NA,NA,2,5.2,9.9
1_11_1,31,31,1,11,1,NA,NA,NA,1,5,10
1_11_2,32,32,1,11,2,1,NA,NA,2,8,19.7
1_11_3,33,33,1,11,3,NA,NA,NA,0,NA,NA
1_12_1,34,34,1,12,1,NA,NA,NA,3,7.5,7.8
1_12_2,35,35,1,12,2,NA,NA,NA,1,7,12
1_12_3,36,36,1,12,3,1,NA,NA,2,5,8.2
1_13_1,37,37,1,13,1,NA,1,NA,1,5.7,15.8
1_13_2,38,38,1,13,2,1,NA,NA,2,5,8
1_13_3,39,39,1,13,3,NA,NA,NA,2,4.9,11.5
1_14_1,40,40,1,14,1,NA,NA,NA,4,5,11.8
1_14_2,41,41,1,14,2,1,NA,NA,3,5.3,8.8
1_14_3,42,42,1,14,3,NA,1,NA,2,7.5,17.3
1_15_1,43,43,1,15,1,NA,1,NA,2,5.6,10.5
1_15_2,44,44,1,15,2,1,NA,1,1,5,10.2
1_3_3,9,9,1,3,3,NA,NA,NA,2,4.7,10.3
1_15_3,45,45,1,15,3,NA,NA,NA,2,4.5,9.8
1_16_2,47,47,1,16,2,NA,NA,NA,2,5,10
1_16_3,48,48,1,16,3,1,NA,1,1,6,12.4
1_17_1,49,49,1,17,1,NA,NA,NA,2,6.3,14.1
1_17_2,50,50,1,17,2,1,NA,NA,1,5.7,11.8
1_17_3,51,51,1,17,3,NA,NA,NA,2,6,15.5
2_16_3,114,36,2,16,3,NA,NA,NA,2,3.65,9.4
1_18_2,53,53,1,18,2,NA,1,NA,2,6,12
1_18_3,54,54,1,18,3,NA,NA,1,2,4.8,10.8
1_19_1,55,55,1,19,1,NA,NA,NA,2,5.5,11.9
1_19_2,56,56,1,19,2,1,1,NA,1,6.5,14.5
1_19_3,57,57,1,19,3,NA,NA,NA,2,4.2,7.7
1_20_1,58,58,1,20,1,1,NA,NA,3,4.5,7.7
1_20_2,59,59,1,20,2,NA,NA,NA,1,7,14.5
1_20_3,60,60,1,20,3,NA,NA,NA,6,5.2,6.5
1_21_1,61,61,1,21,1,NA,NA,NA,2,7,19.7
1_21_2,62,62,1,21,2,1,NA,NA,1,9,25.5
1_21_3,63,63,1,21,3,NA,NA,NA,0,NA,NA
1_16_1,46,46,1,16,1,NA,NA,NA,3,5,8.5
1_22_2,65,65,1,22,2,1,1,NA,1,4.7,8.6
1_22_3,66,66,1,22,3,NA,NA,1,1,3.7,8.4
1_23_1,67,67,1,23,1,NA,NA,NA,1,3.7,8.7
1_23_2,68,68,1,23,2,1,NA,NA,1,4.9,11.9
1_23_3,69,69,1,23,3,NA,NA,NA,0,NA,NA
1_24_1,70,70,1,24,1,NA,NA,NA,2,5,12.1
1_24_2,71,71,1,24,2,1,NA,NA,3,6.5,15.5
1_24_3,72,72,1,24,3,NA,NA,NA,1,2.6,2.47
1_25_1,73,73,1,25,1,NA,NA,NA,2,5.5,15.3
1_25_2,74,74,1,25,2,NA,NA,NA,5,5.5,11.8
1_25_3,75,75,1,25,3,1,1,NA,3,6,15.7
6_1_3,462,72,6,1,3,1,NA,NA,1,3.75,8.2
1_26_2,77,77,1,26,2,NA,1,NA,2,4.8,11.1
1_26_3,78,78,1,26,3,1,NA,1,2,2.9,7.7
2_12_1,79,1,2,12,1,NA,NA,NA,0,NA,NA
2_12_2,80,2,2,12,2,NA,NA,NA,2,5.8,11
2_12_3,81,3,2,12,3,1,NA,NA,1,4.1,7
2_6_1,82,4,2,6,1,1,1,NA,1,4.3,9.2
2_6_2,83,5,2,6,2,NA,NA,NA,2,4.9,10.8
2_6_3,84,6,2,6,3,NA,NA,NA,2,4.1,7.7
2_8_1,85,7,2,8,1,NA,NA,NA,2,5.5,8.9
2_8_2,86,8,2,8,2,1,NA,NA,1,5.3,10
2_8_3,87,9,2,8,3,NA,NA,NA,3,5.6,11.5
2_14_1,88,10,2,14,1,NA,NA,NA,1,3.7,6
2_14_2,89,11,2,14,2,1,1,NA,1,3.7,6.5
2_14_3,90,12,2,14,3,NA,NA,NA,2,5.2,9.7
2_9_1,91,13,2,9,1,NA,NA,NA,2,3.7,5.7
2_9_2,92,14,2,9,2,NA,1,NA,2,4.1,8.3
2_9_3,93,15,2,9,3,1,NA,NA,3,4.8,7.9
2_3_1,94,16,2,3,1,NA,NA,1,2,4,8.6
2_3_2,95,17,2,3,2,1,NA,NA,1,2.9,5.5
6_16_3,396,6,6,16,3,1,NA,NA,1,4.15,8.1
6_18_3,432,42,6,18,3,NA,NA,NA,2,4.2,8.1
2_22_2,98,20,2,22,2,NA,NA,NA,4,1,1.1
4_15_3,279,45,4,15,3,1,1,NA,1,4,7.8
2_11_1,100,22,2,11,1,NA,NA,NA,2,5.2,9
2_11_2,101,23,2,11,2,1,NA,NA,2,4.4,8.1
2_11_3,102,24,2,11,3,NA,NA,NA,2,4.7,8.2
2_17_1,103,25,2,17,1,NA,NA,NA,1,4,7
2_17_2,104,26,2,17,2,NA,NA,NA,2,3.8,6.4
2_17_3,105,27,2,17,3,1,NA,NA,3,3.5,6.2
2_25_1,106,28,2,25,1,NA,NA,NA,1,2.25,6.5
2_25_2,107,29,2,25,2,1,1,NA,2,2.75,3.7
2_25_3,108,30,2,25,3,NA,NA,NA,3,2.3,3.6
