"","site.pop","site","pop","rep","ind.x","ind.id","pop.tree","pop.name","mkleaf","sdkleaf","nkleaf","mkstem","sdkstem","nkstem","mkstem.sa.l","mWD","nWD","mleafsize","nhub","mstemlength","mstemarea","mleafarea","mleafmass","mstemmass","mLMF","mSLA","mLDMC","mml_ms","P50leaf","P50stem","mAl_As","log.Al_As","log.leafsize","cwd","aet","pet","ppt","tmn","tmx","cwd.2018wy","aet.2018wy","pet.2018wy","ppt.2018wy","tmn.2018wy","tmx.2018wy","cwd.2018ds","aet.2018ds","pet.2018ds","ppt.2018ds","tmn.2018ds","tmx.2018ds"
"1","H1","H","1","1","c","H1_1","SMT.1","SMT",2.07499331633333,0.024513328794198,3,27.0589826025,6.55854939351808,4,738.840487010411,0.759196428571429,2,10.6932369281046,3,74.3866666666667,4.14595691607316,133.501,1.6311,0.291966666666667,0.858999955458653,82.144867493933,0.436765735274042,6.3156608137856,-3.84,-4.352724523,35.0727451265139,1.54496975922737,1.02910918951395,690.0800103,481.3300072,1174.547518,1221.930018,10.3815206,23.58504164,719.270004272461,467.129999876022,1186.40000152588,759.229991018772,10.1983335415522,24.6733333269755,31.0766671498617,9.20666674772898,40.2833340962728,98.4949990113577,5.08166670799255,17.7699998219808
"2","H1","H","1","2","b","H1_2","SMT.2","SMT",2.51107657733333,0.173295447028851,3,29.1503750633333,5.83494633803323,3,409.211142078608,0.702669513806061,2,6.58672222222222,3,58.5266666666667,2.72351648420055,58.9353333333333,0.742033333333333,0.149566666666667,0.8333243925725,81.3841101018149,0.490434174141676,5.02562187897993,-3.063914932,-3.99,22.3249243849614,1.34878999659755,0.818669348594113,690.0800103,481.3300072,1174.547518,1221.930018,10.3815206,23.58504164,719.270004272461,467.129999876022,1186.40000152588,759.229991018772,10.1983335415522,24.6733333269755,31.0766671498617,9.20666674772898,40.2833340962728,98.4949990113577,5.08166670799255,17.7699998219808
"3","H1","H","1","3","a","H1_3","SMT.3","SMT",2.457132542,0.538142961013221,4,39.65181311725,22.0710116157491,4,1033.91994130861,0.772680997735103,3,5.9955,3,66.1433333333333,3.90193661531481,88.6056666666667,1.12436666666667,0.1969,0.846728476924335,81.551904839366,0.416508086794927,5.73502336872085,NA,-4.92,23.2513529029454,1.36644822781477,0.777825407315786,690.0800103,481.3300072,1174.547518,1221.930018,10.3815206,23.58504164,719.270004272461,467.129999876022,1186.40000152588,759.229991018772,10.1983335415522,24.6733333269755,31.0766671498617,9.20666674772898,40.2833340962728,98.4949990113577,5.08166670799255,17.7699998219808
"4","H1","H","1","4","b","H1_4","SMT.4","SMT",2.4569118545,0.307951520609944,2,46.2802994533333,4.55712596750255,3,1148.04976903905,0.800417673527206,2,7.15003728991597,5,107.656,6.49092486715542,95.6518,1.33444,0.63188,0.72816183926074,75.8104395764581,0.482263883027961,3.27767044566729,NA,-4.034354246,24.8923663872449,1.39606618467896,0.854308306802829,690.0800103,481.3300072,1174.547518,1221.930018,10.3815206,23.58504164,719.270004272461,467.129999876022,1186.40000152588,759.229991018772,10.1983335415522,24.6733333269755,31.0766671498617,9.20666674772898,40.2833340962728,98.4949990113577,5.08166670799255,17.7699998219808
"5","H1","H","1","5","a","H1_5","SMT.5","SMT",2.43196171533333,0.151453234109076,3,33.575287655,4.31110015644975,3,802.94196095562,0.77110536911405,2,8.25662393162393,3,76.1566666666667,3.5428700282322,92.3333333333333,1.2008,0.2629,0.830739206658719,77.2633321542785,0.420227358684954,6.74787068569255,NA,-4.94,26.6713341186503,1.42604473994472,0.916802504029121,690.0800103,481.3300072,1174.547518,1221.930018,10.3815206,23.58504164,719.270004272461,467.129999876022,1186.40000152588,759.229991018772,10.1983335415522,24.6733333269755,31.0766671498617,9.20666674772898,40.2833340962728,98.4949990113577,5.08166670799255,17.7699998219808
"6","H15","H","15","1","b","H15_1","SUG.1","SUG",2.6746143255,0.236070547570574,4,31.7025328,15.0669662271063,3,675.258051365684,0.750192537912909,3,4.8295101010101,3,84.65,4.69092143093772,58.7896666666667,0.853866666666667,0.3232,0.731760613364945,68.4568357191275,0.504357890372019,3.38622273263789,-5.410241131,-5.05,18.7100277496588,1.27207443162159,0.683903078739358,733.8575109,392.9775059,1193.297518,1014.252515,4.944791556,21.16574999,728.239999771118,519.760003089904,1248.0000038147,768.570013999939,8.1708333492279,22.2408330440521,34.8750003178914,15.1250001589457,50.0000006357829,111.718335151672,3.85999997456868,16.3700000445048
"7","H15","H","15","2","b","H15_2","SUG.2","SUG",2.246856078,0.165309477109709,3,42.694135185,3.11662581046384,2,415.867526057667,0.760782249309806,3,10.2410714285714,2,49.435,2.56024529689933,77,0.98985,0.1259,0.887821633883449,77.5819378518092,0.433502700532397,10.3641533297739,NA,-3.84,27.8221468060528,1.44439063787928,1.01034539523109,733.8575109,392.9775059,1193.297518,1014.252515,4.944791556,21.16574999,728.239999771118,519.760003089904,1248.0000038147,768.570013999939,8.1708333492279,22.2408330440521,34.8750003178914,15.1250001589457,50.0000006357829,111.718335151672,3.85999997456868,16.3700000445048
"8","H15","H","15","3","c","H15_3","SUG.3","SUG",2.331609521,0.488618756181224,3,18.622073184,10.2015273401332,4,352.852313975993,0.757748490956849,5,2.83666752136752,3,48.8033333333333,1.86562316178035,32.2253333333333,0.350133333333333,0.0723666666666667,0.826751818984987,92.372905353843,0.453655515350257,4.87070638109656,NA,NA,18.0056957137303,1.25540990653467,0.452808436219852,733.8575109,392.9775059,1193.297518,1014.252515,4.944791556,21.16574999,728.239999771118,519.760003089904,1248.0000038147,768.570013999939,8.1708333492279,22.2408330440521,34.8750003178914,15.1250001589457,50.0000006357829,111.718335151672,3.85999997456868,16.3700000445048
"9","H15","H","15","4","c","H15_4","SUG.4","SUG",2.6002961145,0.347354974246192,4,61.4030842475,9.65903607177227,4,798.223895094104,0.752182148490311,2,4.15818868686869,3,172.566666666667,5.69553876488155,82.1736666666667,0.871266666666667,0.440033333333333,0.670374509760529,94.010366025411,0.411210327177014,2.0901085677783,-3.628978697,-5.12,13.7232283906069,1.13745629120268,0.61890419250065,733.8575109,392.9775059,1193.297518,1014.252515,4.944791556,21.16574999,728.239999771118,519.760003089904,1248.0000038147,768.570013999939,8.1708333492279,22.2408330440521,34.8750003178914,15.1250001589457,50.0000006357829,111.718335151672,3.85999997456868,16.3700000445048
"10","H15","H","15","5","c","H15_5","SUG.5","SUG",3.45233388375,0.974609567882846,4,37.9435512625,15.1699292870168,4,309.139785646606,0.760746109855034,2,6.35803968253968,3,23.1466666666667,1.36293343058779,42.4926666666667,0.543233333333333,0.0467,0.923025412474469,78.9839810479943,0.421201678299918,12.2067424712355,NA,-5.12,22.9864978744479,1.36147280903964,0.803323234156645,733.8575109,392.9775059,1193.297518,1014.252515,4.944791556,21.16574999,728.239999771118,519.760003089904,1248.0000038147,768.570013999939,8.1708333492279,22.2408330440521,34.8750003178914,15.1250001589457,50.0000006357829,111.718335151672,3.85999997456868,16.3700000445048
