site.pop,site,pop,rep,ind.x,ind.id,pop.name,mkleaf,sdkleaf,nkleaf,mkstem,sdkstem,nkstem,mkstem.sa.l,mWD,nWD,mleafsize,nhub,mstemlength,mstemarea,mleafarea,mleafmass,mstemmass,mSLA,mLDMC,mml_ms,P50leaf,P50stem,mAl_As,log.Al_As,log.leafsize,cwd,aet,pet,ppt,tmn,tmx,cwd.2018wy,aet.2018wy,pet.2018wy,ppt.2018wy,tmn.2018wy,tmx.2018wy
H16,H,16,2,a,H16_2,SRD,2.98792125,0.201475591,4,40.2254633,17.08779684,2,541.0556483,0.759258289,2,3.168691619,3,281.63,7.230328949,118.612,1.680833333,1.207333333,72.96359424,0.490442064,2.082681482,-2.979062479,-6.086465064,17.41373324,1.240891887,0.500879975,783.2500117,440.8900066,1264.467519,836.5575125,6.187958195,22.18125002,1019.620016,297.3799968,1317.000021,321.7599943,9.216666718,24.46499983
H16,H,16,3,b,H16_3,SRD,2.580684711,0.856014936,5,38.27396018,20.17657213,3,487.6778529,0.7802107,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.46,22.6202186,1.354496798,NA,783.2500117,440.8900066,1264.467519,836.5575125,6.187958195,22.18125002,1019.620016,297.3799968,1317.000021,321.7599943,9.216666718,24.46499983
H16,H,16,4,b,H16_4,SRD,2.207652909,0.355255041,4,38.35175684,3.142878256,3,498.6784349,0.800058672,2,5.821511111,3,72.32333333,3.009724302,63.412,0.741233333,0.171066667,85.61552548,0.447812457,4.965467893,-3.475100482,-5.14,20.37732682,1.309147211,0.765035731,783.2500117,440.8900066,1264.467519,836.5575125,6.187958195,22.18125002,1019.620016,297.3799968,1317.000021,321.7599943,9.216666718,24.46499983
H16,H,16,5,b,H16_5,SRD,2.458030118,0.179189215,3,50.98800263,10.84716048,3,1359.725873,0.727447217,1,7.582201389,3,89.86666667,4.084172261,85.634,0.980933333,0.3093,89.09345969,0.451981029,4.013518506,-3.004470416,-4.83,28.15072614,1.449489602,0.879795315,783.2500117,440.8900066,1264.467519,836.5575125,6.187958195,22.18125002,1019.620016,297.3799968,1317.000021,321.7599943,9.216666718,24.46499983
H18,H,18,1,c,H18_1,SON,2.65301163,0.344227144,3,34.00995011,11.28345385,3,1063.194616,0.800146123,2,5.115740741,3,44.26666667,1.837590265,42.33333333,0.487966667,0.117133333,86.65022719,0.454599742,4.424219687,-4.455543036,-4.63,27.12185033,1.433319315,0.708908527,981.6850146,290.5950043,1284.692519,454.6725068,7.928645656,23.48758337,1019.620016,297.3799968,1317.000021,321.7599943,9.216666718,24.46499983
H18,H,18,2,a,H18_2,SON,2.493981915,0.223344199,3,18.13298533,NA,1,570.7024629,0.807672096,2,5.83807619,3,93.67333333,3.500714509,59.58833333,0.6485,0.2629,92.43529689,0.439491895,2.471050718,-3.640848863,-3.57,30.20655472,1.480101194,0.766269758,981.6850146,290.5950043,1284.692519,454.6725068,7.928645656,23.48758337,1019.620016,297.3799968,1317.000021,321.7599943,9.216666718,24.46499983
H18,H,18,3,c,H18_3,SON,2.185084597,0.346784778,4,45.08837384,25.12908366,4,566.0016225,0.797716069,2,4.905874218,6,96.07666667,3.790325719,59.83333333,0.809483333,0.318216667,74.41227985,0.424227607,2.742242487,NA,-3.2,18.12840046,1.258359486,0.690716409,981.6850146,290.5950043,1284.692519,454.6725068,7.928645656,23.48758337,1019.620016,297.3799968,1317.000021,321.7599943,9.216666718,24.46499983
H18,H,18,4,b,H18_4,SON,2.587281767,0.467625766,4,26.767642,NA,1,578.6728403,0.769269756,2,6.232307407,3,46.73333333,3.069097494,70.342,0.9122,0.143733333,77.62735548,0.460985517,8.435006403,-3.133497399,-5.21,20.94178306,1.321013656,0.794648867,981.6850146,290.5950043,1284.692519,454.6725068,7.928645656,23.48758337,1019.620016,297.3799968,1317.000021,321.7599943,9.216666718,24.46499983
H18,H,18,5,b,H18_5,SON,2.385069576,0.365334536,4,31.16331154,5.494941943,3,267.6974248,0.772601948,2,5.287193939,3,60.83,2.97624016,72.86233333,0.893733333,0.159466667,82.37423108,0.469668947,6.279274597,NA,-5.18,20.34522986,1.308462601,0.723225241,981.6850146,290.5950043,1284.692519,454.6725068,7.928645656,23.48758337,1019.620016,297.3799968,1317.000021,321.7599943,9.216666718,24.46499983
H22,H,22,1,c,H22_1,SJR,2.820959304,0.867860889,4,54.02284263,4.222573968,3,746.7494204,0.819160875,2,4.594444444,3,70.87333333,3.131015959,46.66666667,0.574566667,0.178233333,82.01884366,0.463930986,3.43638386,NA,-4.35,20.35898248,1.308756069,0.662233004,993.3000148,354.3625053,1367.29002,471.685007,7.802395659,24.51885417,1093.829991,311.7699938,1405.599983,325.139994,9.708333373,25.4391667
H22,H,22,3,a,H22_3,SJR,3.027434365,0.926512203,6,34.54764178,16.58319453,3,830.8723123,0.757710073,2,5.597246349,3,130.92,3.915314564,116.5833333,1.322833333,0.314333333,90.2406657,0.447120595,4.18515115,NA,-4.35,26.45138448,1.422448408,0.747974422,993.3000148,354.3625053,1367.29002,471.685007,7.802395659,24.51885417,1093.829991,311.7699938,1405.599983,325.139994,9.708333373,25.4391667
H22,H,22,5,c,H22_5,SJR,2.780725465,0.482639671,5,62.78817654,11.37227577,3,866.203342,0.775080507,2,4.299603175,3,37.26,1.766998242,30.33333333,0.348333333,0.066133333,87.18736538,0.411446251,6.007566407,-3.929485263,-4.91,16.47195262,1.216745084,0.633428375,993.3000148,354.3625053,1367.29002,471.685007,7.802395659,24.51885417,1093.829991,311.7699938,1405.599983,325.139994,9.708333373,25.4391667
H22,H,22,6,c,H22_6,SJR,2.316624035,0.325090028,3,35.61052395,20.30201085,4,348.8706324,0.828090776,2,3.299011111,3,74.04,3.840361399,43.62133333,0.5319,0.193833333,83.38874906,0.408479632,2.974460871,NA,NA,12.95030086,1.112279858,0.518383778,993.3000148,354.3625053,1367.29002,471.685007,7.802395659,24.51885417,1093.829991,311.7699938,1405.599983,325.139994,9.708333373,25.4391667
H22,H,22,8,b,H22_8,SJR,2.133797588,0.258320076,3,42.28041194,4.468074876,3,1857.793522,0.766368347,1,4.583285573,2,151.275,3.333788311,102.9055,1.1306,0.36215,91.48455634,0.466277942,3.141945633,NA,-1.871222193,33.01491644,1.518710202,0.661176918,993.3000148,354.3625053,1367.29002,471.685007,7.802395659,24.51885417,1093.829991,311.7699938,1405.599983,325.139994,9.708333373,25.4391667
H26,H,26,1,c,H26_1,SMR,2.768221636,0.560128547,3,27.79460179,16.95057136,2,183.7019448,0.792815004,2,3.704232804,3,34.52666667,1.743327942,33,0.398733333,0.067066667,84.0160792,0.396738532,7.031155618,NA,-5.67,17.02596437,1.23111172,0.568698273,985.8075147,355.4100053,1351.91752,560.4525084,8.560978975,23.0505417,1035.599998,345.6000028,1381.199997,294.3299987,9.929999948,24.52666672
H26,H,26,3,c,H26_3,SMR,1.974655855,0.592630814,4,51.42791157,15.53538964,2,1184.819182,0.729523051,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.89885502,-4.06,26.24203952,1.418997585,NA,985.8075147,355.4100053,1351.91752,560.4525084,8.560978975,23.0505417,1035.599998,345.6000028,1381.199997,294.3299987,9.929999948,24.52666672
H26,H,26,4,b,H26_4,SMR,2.849874847,0.539043573,3,58.18836396,22.32699702,2,820.8081456,0.721684995,2,3.772468013,3,60.98333333,2.475380116,35.46366667,0.4129,0.1471,89.6155211,0.426701794,4.548458654,NA,-5.38,16.19176715,1.20929425,0.576625566,985.8075147,355.4100053,1351.91752,560.4525084,8.560978975,23.0505417,1035.599998,345.6000028,1381.199997,294.3299987,9.929999948,24.52666672
H26,H,26,6,c,H26_6,SMR,2.669092954,0.460932839,3,38.3687255,9.989323372,3,445.5710884,0.802461394,2,3.5,3,54.9,1.794221742,36.33333333,0.465433333,0.108233333,78.22199498,0.419137539,4.595583659,-3.695183058,-3.87,16.62855453,1.220854499,0.544068044,985.8075147,355.4100053,1351.91752,560.4525084,8.560978975,23.0505417,1035.599998,345.6000028,1381.199997,294.3299987,9.929999948,24.52666672
H26,H,26,8,c,H26_8,SMR,2.025456016,0.123065721,5,55.36351986,18.58879322,3,863.8606294,0.741979495,2,3.4284,3,194.77,4.389936493,53.175,0.5516,0.5054,97.65314667,0.409223658,1.148829863,-3.843780705,-3.95,15.48163576,1.189816846,0.535091486,985.8075147,355.4100053,1351.91752,560.4525084,8.560978975,23.0505417,1035.599998,345.6000028,1381.199997,294.3299987,9.929999948,24.52666672
H3,H,3,1,b,H3_1,LYN,2.829133065,0.594514118,4,29.95580838,8.944880092,2,300.9628617,0.748462747,3,3.840930861,6,103.435,3.604123814,50.49216667,0.648233333,0.260066667,78.28567445,0.441289145,3.161588012,-3.59788348,-3.971999383,14.61735027,1.164868654,0.58443649,671.70251,456.0125068,1144.422517,849.1050127,7.29620817,22.08297918,684.149992,493.9500048,1178.1,704.2800003,9.753333449,22.9466664
H3,H,3,2,a,H3_2,LYN,2.636617401,0.408595592,6,41.24301282,14.87872835,4,533.8219582,0.766192602,2,4.432442068,3,73.62666667,4.006478929,54.33333333,0.775633333,0.2852,71.74868828,0.43594161,4.131321435,-4.31134542,-4.8,17.72173008,1.248506118,0.646643068,671.70251,456.0125068,1144.422517,849.1050127,7.29620817,22.08297918,684.149992,493.9500048,1178.1,704.2800003,9.753333449,22.9466664
H3,H,3,3,b,H3_3,LYN,2.949223556,0.682694701,4,41.32474582,14.47752919,3,509.4088619,0.768,1,6.661616162,3,95.93333333,4.155410782,81,1.113733333,0.345766667,74.24784896,0.43838425,3.979901664,NA,-3.86,20.72966159,1.316592212,0.823579605,671.70251,456.0125068,1144.422517,849.1050127,7.29620817,22.08297918,684.149992,493.9500048,1178.1,704.2800003,9.753333449,22.9466664
H3,H,3,5,c,H3_5,LYN,2.959666862,0.342234282,3,31.73168076,7.64147812,3,836.0571079,NA,NA,6.092929293,3,112.99,5.711304906,90,1.413933333,0.540033333,66.35504474,0.423882183,3.443818068,NA,-4.19,18.46944506,1.266453847,0.784826138,671.70251,456.0125068,1144.422517,849.1050127,7.29620817,22.08297918,684.149992,493.9500048,1178.1,704.2800003,9.753333449,22.9466664
H3,H,3,6,a,H3_6,LYN,2.382621594,0.498301917,4,48.73957186,7.979147257,3,1148.923692,0.763744317,2,6.698578042,6,61.05,3.059970877,57.64033333,0.743583333,0.1769,78.24031769,0.42489486,6.637446824,-4.564735474,NA,21.58752628,1.334202879,0.825982622,671.70251,456.0125068,1144.422517,849.1050127,7.29620817,22.08297918,684.149992,493.9500048,1178.1,704.2800003,9.753333449,22.9466664
W1,W,1,1,NA,W1_1,SMT,1.975861334,0.255080041,4,39.06228009,11.59458204,3,1884.889036,0.768968595,3,8.047619048,3,39.39666667,2.257391401,65.33333333,0.7155,0.0928,90.68888403,0.423861765,9.778540985,-4.47,-3.09,37.44818675,1.573430794,0.90566741,690.0800103,481.3300072,1174.547518,1221.930018,10.3815206,23.58504164,719.2700043,467.1299999,1186.400002,759.229991,10.19833354,24.67333333
W1,W,1,2,NA,W1_2,SMT,1.418522178,0.146753866,3,29.17427396,28.52437442,3,352.1663867,0.748795391,3,12.41541587,3,63.40333333,3.639654354,105.03,1.113933333,0.272633333,92.04335977,0.436294412,11.21859739,NA,NA,25.62753228,1.408706789,1.093961271,690.0800103,481.3300072,1174.547518,1221.930018,10.3815206,23.58504164,719.2700043,467.1299999,1186.400002,759.229991,10.19833354,24.67333333
W1,W,1,3,NA,W1_3,SMT,1.842351051,0.039210446,3,28.16575581,2.824849419,3,235.8680181,0.756711652,3,5.966720118,3,35.32,3.32252512,57.25333333,0.666766667,0.1096,88.81129325,0.434937252,7.069082939,-2.8,-5.33,16.66098425,1.221700654,0.775735667,690.0800103,481.3300072,1174.547518,1221.930018,10.3815206,23.58504164,719.2700043,467.1299999,1186.400002,759.229991,10.19833354,24.67333333
W1,W,1,4,NA,W1_4,SMT,2.307177453,0.340391784,7,38.6168542,26.02646899,2,712.1611531,0.720337025,2,6.454472222,3,57.65,3.603901284,61.05966667,0.825,0.1683,79.27053797,0.433772618,5.304936251,-3.66,-5.53,19.06665444,1.280274496,0.809860736,690.0800103,481.3300072,1174.547518,1221.930018,10.3815206,23.58504164,719.2700043,467.1299999,1186.400002,759.229991,10.19833354,24.67333333
W1,W,1,5,NA,W1_5,SMT,2.106964479,0.319333256,6,32.88292407,2.010101407,3,238.4827345,0.78646666,3,4.376461905,3,29.51,1.716409147,30.40133333,0.368333333,0.067733333,83.40638392,0.403766018,6.586206192,NA,NA,17.11168539,1.233292787,0.641123152,690.0800103,481.3300072,1174.547518,1221.930018,10.3815206,23.58504164,719.2700043,467.1299999,1186.400002,759.229991,10.19833354,24.67333333
